Product_Name,Category,Season,Weight_Volume,Height_cm,Width_cm,Depth_cm,Sales_Last_30_Days,Profit_Per_Unit,Expiry_Date
Britannia Classic Bread,Bakery,Winter,0.05kg,4.44,5.79,1.98,318,8.15,2025-05-24
Britannia Classic Bread,Bakery,Spring,0.05kg,4.44,5.79,1.98,702,8.22,2025-05-25
Britannia Classic Bread,Bakery,Summer,0.05kg,4.44,5.79,1.98,506,9.39,2025-05-24
Britannia Classic Bread,Bakery,Autumn,0.05kg,4.44,5.79,1.98,509,10.9,2025-05-30
Britannia Classic Bread,Bakery,Monsoon,0.05kg,4.44,5.79,1.98,249,11.06,2025-05-29
Britannia Classic Bread,Bakery,Winter,0.10kg,7.27,6.75,1.92,380,6.56,2025-05-29
Britannia Classic Bread,Bakery,Spring,0.10kg,7.27,6.75,1.92,249,6.54,2025-05-29
Britannia Classic Bread,Bakery,Summer,0.10kg,7.27,6.75,1.92,847,24.88,2025-05-25
Britannia Classic Bread,Bakery,Autumn,0.10kg,7.27,6.75,1.92,352,6.23,2025-05-26
Britannia Classic Bread,Bakery,Monsoon,0.10kg,7.27,6.75,1.92,431,6.07,2025-05-28
Britannia Classic Bread,Bakery,Winter,0.20kg,7.91,7.91,2.02,157,10.33,2025-05-31
Britannia Classic Bread,Bakery,Spring,0.20kg,7.91,7.91,2.02,680,7.1,2025-05-24
Britannia Classic Bread,Bakery,Summer,0.20kg,7.91,7.91,2.02,827,9.67,2025-05-24
Britannia Classic Bread,Bakery,Autumn,0.20kg,7.91,7.91,2.02,261,9.71,2025-05-26
Britannia Classic Bread,Bakery,Monsoon,0.20kg,7.91,7.91,2.02,411,26.57,2025-05-31
Britannia Classic Cake,Bakery,Winter,0.05kg,4.46,6.59,1.69,245,6.04,2025-05-29
Britannia Classic Cake,Bakery,Spring,0.05kg,4.46,6.59,1.69,668,11.03,2025-05-28
Britannia Classic Cake,Bakery,Summer,0.05kg,4.46,6.59,1.69,643,12.35,2025-05-25
Britannia Classic Cake,Bakery,Autumn,0.05kg,4.46,6.59,1.69,493,8.76,2025-05-24
Britannia Classic Cake,Bakery,Monsoon,0.05kg,4.46,6.59,1.69,642,5.45,2025-05-31
Britannia Classic Cake,Bakery,Winter,0.10kg,5.78,7.52,1.6,289,3.74,2025-05-27
Britannia Classic Cake,Bakery,Spring,0.10kg,5.78,7.52,1.6,285,20.9,2025-05-28
Britannia Classic Cake,Bakery,Summer,0.10kg,5.78,7.52,1.6,558,8.88,2025-05-31
Britannia Classic Cake,Bakery,Autumn,0.10kg,5.78,7.52,1.6,436,3.43,2025-05-24
Britannia Classic Cake,Bakery,Monsoon,0.10kg,5.78,7.52,1.6,564,2.83,2025-05-30
Britannia Classic Cake,Bakery,Winter,0.20kg,7.68,8.81,2.03,501,16.1,2025-05-29
Britannia Classic Cake,Bakery,Spring,0.20kg,7.68,8.81,2.03,188,33.81,2025-05-31
Britannia Classic Cake,Bakery,Summer,0.20kg,7.68,8.81,2.03,440,54.3,2025-05-24
Britannia Classic Cake,Bakery,Autumn,0.20kg,7.68,8.81,2.03,350,13.43,2025-05-29
Britannia Classic Cake,Bakery,Monsoon,0.20kg,7.68,8.81,2.03,307,34.83,2025-05-29
Britannia Classic Croissant,Bakery,Winter,0.05kg,6.6,5.78,1.58,174,2.57,2025-05-25
Britannia Classic Croissant,Bakery,Spring,0.05kg,6.6,5.78,1.58,403,7.22,2025-05-26
Britannia Classic Croissant,Bakery,Summer,0.05kg,6.6,5.78,1.58,332,5.9,2025-05-30
Britannia Classic Croissant,Bakery,Autumn,0.05kg,6.6,5.78,1.58,649,4.87,2025-05-28
Britannia Classic Croissant,Bakery,Monsoon,0.05kg,6.6,5.78,1.58,765,6.25,2025-05-30
Britannia Classic Croissant,Bakery,Winter,0.10kg,8.13,8.27,1.55,321,18.15,2025-05-25
Britannia Classic Croissant,Bakery,Spring,0.10kg,8.13,8.27,1.55,603,11.13,2025-05-28
Britannia Classic Croissant,Bakery,Summer,0.10kg,8.13,8.27,1.55,490,11.75,2025-05-29
Britannia Classic Croissant,Bakery,Autumn,0.10kg,8.13,8.27,1.55,553,7.78,2025-05-26
Britannia Classic Croissant,Bakery,Monsoon,0.10kg,8.13,8.27,1.55,479,4.56,2025-05-25
Britannia Classic Croissant,Bakery,Winter,0.20kg,10.39,8.47,2.59,299,18.29,2025-05-31
Britannia Classic Croissant,Bakery,Spring,0.20kg,10.39,8.47,2.59,209,6.83,2025-05-26
Britannia Classic Croissant,Bakery,Summer,0.20kg,10.39,8.47,2.59,1008,40.24,2025-05-24
Britannia Classic Croissant,Bakery,Autumn,0.20kg,10.39,8.47,2.59,265,35.7,2025-05-30
Britannia Classic Croissant,Bakery,Monsoon,0.20kg,10.39,8.47,2.59,637,23.89,2025-05-24
Britannia Classic Donut,Bakery,Winter,0.05kg,5.15,5.87,1.98,207,3.23,2025-05-26
Britannia Classic Donut,Bakery,Spring,0.05kg,5.15,5.87,1.98,385,5.34,2025-05-24
Britannia Classic Donut,Bakery,Summer,0.05kg,5.15,5.87,1.98,348,9.37,2025-05-29
Britannia Classic Donut,Bakery,Autumn,0.05kg,5.15,5.87,1.98,485,6.15,2025-05-29
Britannia Classic Donut,Bakery,Monsoon,0.05kg,5.15,5.87,1.98,659,10.81,2025-05-25
Britannia Classic Donut,Bakery,Winter,0.10kg,5.71,7.22,1.44,482,11.27,2025-05-24
