Product_Name,Category,Profit_Per_Unit,Sales_Last_30_Days,Season_Used,Width_cm,Height_cm,Manufacturing_Date,Expiry_Date
Britannia Chips 400g,Snacks,44.39,941,Monsoon,11.2,7.4,07-11-2024,12-09-2025
Parle Namkeen 500g,Snacks,6.99,822,Monsoon,14.5,10.4,28-03-2025,08-11-2025
Parle Chips 150g,Snacks,48.77,29,Spring,4.8,8.2,09-04-2025,14-03-2026
Red Bull Energy Drink 300g,Beverages,44.73,127,Autumn,2.1,20.1,29-07-2024,10-02-2025
Bru Energy Drink 500g,Beverages,8.55,999,Winter,18.2,27.4,21-01-2025,23-07-2025
Dove Toothpaste 400g,Personal Care,30.53,664,Monsoon,17.3,9.6,08-10-2024,04-06-2025
Himalaya Face Wash 250g,Personal Care,24.48,234,Winter,4.3,23.6,27-01-2025,23-12-2025
Amul Yogurt 450g,Dairy,14.98,844,Winter,3.6,20.3,14-05-2024,19-09-2024
Bru Juice 150g,Beverages,9.36,516,Monsoon,9.7,11.3,23-01-2025,27-05-2025
Colgate Face Wash 150g,Personal Care,20.91,311,Winter,16.2,24.3,18-07-2024,01-04-2025
Amul Butter 200g,Dairy,17.65,138,Autumn,7.3,21.5,15-01-2025,23-04-2025
Lizol Detergent Powder 50g,Household,13.12,410,Monsoon,15.8,15.5,09-02-2025,04-10-2025
Patanjali Shampoo 100g,Personal Care,12.66,571,Winter,13.2,14.2,27-05-2024,25-01-2025
ITC Cookies 50g,Snacks,33.8,61,Winter,12.9,17.4,27-07-2024,26-06-2025
Tata Tea Energy Drink 150g,Beverages,16.17,865,Winter,12.5,29.3,02-02-2025,27-08-2025
Lizol Toilet Cleaner 100g,Household,35.46,927,Summer,2.6,27.4,21-11-2024,28-08-2025
Haldiram's Cookies 250g,Snacks,25.6,670,Spring,13.7,6.6,29-08-2024,03-07-2025
Lizol Detergent Powder 500g,Household,14.09,432,Monsoon,4.9,24.6,17-02-2025,26-08-2025
Vim Toilet Cleaner 150g,Household,12.02,585,Autumn,9.6,5.7,20-12-2024,13-12-2025
Himalaya Face Wash 400g,Personal Care,29.82,615,Summer,3.3,9.3,12-02-2025,17-09-2025
Mother Dairy Paneer 50g,Dairy,28.06,463,Summer,10,14,09-06-2024,26-11-2024
Bru Tea 350g,Beverages,40.34,184,Winter,17.2,29.4,26-08-2024,26-05-2025
Dove Body Lotion 50g,Personal Care,19.8,583,Winter,4.4,16,05-06-2024,09-03-2025
Mother Dairy Milk 200g,Dairy,21.21,551,Spring,3.6,20.4,28-02-2025,08-06-2025
Harpic Detergent Powder 300g,Household,20.44,288,Winter,14.3,19.6,07-08-2024,26-03-2025
Patanjali Toothpaste 300g,Personal Care,45.74,906,Summer,16.5,15,07-08-2024,21-11-2024
Lizol Air Freshener 50g,Household,49.35,823,Spring,12.5,12.6,19-09-2024,23-08-2025
Bru Soft Drink 300g,Beverages,36.52,348,Monsoon,18.1,26,01-04-2025,19-09-2025
Colgate Face Wash 100g,Personal Care,46.86,342,Monsoon,18.1,15.2,05-06-2024,28-05-2025
Amul Milk 350g,Dairy,31.44,43,Autumn,18,27.7,24-03-2025,27-02-2026
ITC Biscuits 450g,Snacks,34.29,312,Summer,3.8,15.3,15-05-2024,14-10-2024
Harpic Air Freshener 250g,Household,5.96,327,Spring,13.8,12.1,15-12-2024,26-06-2025
Britannia Cookies 450g,Snacks,7.36,543,Winter,6,8.5,26-08-2024,09-08-2025
Lizol Detergent Powder 450g,Household,43.9,467,Winter,14.5,26,13-12-2024,14-04-2025
Vim Floor Cleaner 450g,Household,36.07,798,Monsoon,2.6,7.2,12-01-2025,25-06-2025
Harpic Toilet Cleaner 400g,Household,25.24,302,Spring,11.6,18.4,08-11-2024,14-02-2025
Lizol Toilet Cleaner 400g,Household,10.88,862,Monsoon,6.7,7.3,13-01-2025,31-08-2025
Amul Yogurt 50g,Dairy,32.3,155,Autumn,2.3,9.1,11-03-2025,25-01-2026
Parle Chocolate 300g,Snacks,20.78,301,Summer,13,27.1,13-09-2024,20-03-2025
Tata Tea Juice 150g,Beverages,5.18,660,Summer,3.2,22.8,27-03-2025,03-10-2025
Paperboat Tea 450g,Beverages,46.44,940,Autumn,17.1,18.1,18-02-2025,04-02-2026
Parle Biscuits 400g,Snacks,13.98,535,Autumn,16,15.9,16-01-2025,24-04-2025
Red Bull Energy Drink 200g,Beverages,34.74,767,Autumn,6.5,13.7,02-06-2024,25-05-2025
Patanjali Soap 500g,Personal Care,24.53,361,Spring,2.5,5.6,20-12-2024,31-07-2025
Haldiram's Chips 150g,Snacks,31.7,692,Autumn,15.3,9.1,25-11-2024,12-10-2025
Red Bull Coffee 350g,Beverages,45.1,246,Spring,19.2,26.6,28-06-2024,30-10-2024
Tata Tea Soft Drink 200g,Beverages,33.22,105,Summer,12.8,21.3,28-01-2025,08-09-2025
ITC Namkeen 300g,Snacks,30.62,273,Summer,17,17.4,26-06-2024,03-11-2024
Tata Tea Energy Drink 250g,Beverages,27.55,27,Autumn,18.9,1.9,19-05-2024,28-09-2024
Mother Dairy Yogurt 50g,Dairy,28.24,615,Winter,15.8,10.8,20-09-2024,06-03-2025
