Product_Name,Category,Season,Weight_Volume,Height_cm,Width_cm,Depth_cm,Sales_Last_30_Days,Profit_Per_Unit,Expiry_Date
Classic Bread,Bakery,Winter,0.05kg,8.07,10.53,3.59,318,8.15,2025-05-24
Classic Bread,Bakery,Spring,0.05kg,8.07,10.53,3.59,702,8.22,2025-05-25
Classic Bread,Bakery,Summer,0.05kg,8.07,10.53,3.59,506,9.39,2025-05-24
Classic Bread,Bakery,Autumn,0.05kg,8.07,10.53,3.59,509,10.9,2025-05-30
Classic Bread,Bakery,Monsoon,0.05kg,8.07,10.53,3.59,249,11.06,2025-05-29
Classic Bread,Bakery,Winter,0.10kg,10.49,9.74,2.77,380,6.56,2025-05-29
Classic Bread,Bakery,Spring,0.10kg,10.49,9.74,2.77,249,6.54,2025-05-29
Classic Bread,Bakery,Summer,0.10kg,10.49,9.74,2.77,847,24.88,2025-05-25
Classic Bread,Bakery,Autumn,0.10kg,10.49,9.74,2.77,352,6.23,2025-05-26
Classic Bread,Bakery,Monsoon,0.10kg,10.49,9.74,2.77,431,6.07,2025-05-28
Classic Bread,Bakery,Winter,0.20kg,9.05,9.05,2.31,157,10.33,2025-05-31
Classic Bread,Bakery,Spring,0.20kg,9.05,9.05,2.31,680,7.1,2025-05-24
Classic Bread,Bakery,Summer,0.20kg,9.05,9.05,2.31,827,9.67,2025-05-24
Classic Bread,Bakery,Autumn,0.20kg,9.05,9.05,2.31,261,9.71,2025-05-26
Classic Bread,Bakery,Monsoon,0.20kg,9.05,9.05,2.31,411,26.57,2025-05-31
Classic Cake,Bakery,Winter,0.05kg,8.1,11.98,3.08,245,6.04,2025-05-29
Classic Cake,Bakery,Spring,0.05kg,8.1,11.98,3.08,668,11.03,2025-05-28
Classic Cake,Bakery,Summer,0.05kg,8.1,11.98,3.08,643,12.35,2025-05-25
Classic Cake,Bakery,Autumn,0.05kg,8.1,11.98,3.08,493,8.76,2025-05-24
Classic Cake,Bakery,Monsoon,0.05kg,8.1,11.98,3.08,642,5.45,2025-05-31
Classic Cake,Bakery,Winter,0.10kg,8.33,10.84,2.31,289,3.74,2025-05-27
Classic Cake,Bakery,Spring,0.10kg,8.33,10.84,2.31,285,20.9,2025-05-28
Classic Cake,Bakery,Summer,0.10kg,8.33,10.84,2.31,558,8.88,2025-05-31
Classic Cake,Bakery,Autumn,0.10kg,8.33,10.84,2.31,436,3.43,2025-05-24
Classic Cake,Bakery,Monsoon,0.10kg,8.33,10.84,2.31,564,2.83,2025-05-30
Classic Cake,Bakery,Winter,0.20kg,8.79,10.08,2.32,501,16.1,2025-05-29
Classic Cake,Bakery,Spring,0.20kg,8.79,10.08,2.32,188,33.81,2025-05-31
Classic Cake,Bakery,Summer,0.20kg,8.79,10.08,2.32,440,54.3,2025-05-24
Classic Cake,Bakery,Autumn,0.20kg,8.79,10.08,2.32,350,13.43,2025-05-29
Classic Cake,Bakery,Monsoon,0.20kg,8.79,10.08,2.32,307,34.83,2025-05-29
Classic Croissant,Bakery,Winter,0.05kg,11.99,10.51,2.87,174,2.57,2025-05-25
Classic Croissant,Bakery,Spring,0.05kg,11.99,10.51,2.87,403,7.22,2025-05-26
Classic Croissant,Bakery,Summer,0.05kg,11.99,10.51,2.87,332,5.9,2025-05-30
Classic Croissant,Bakery,Autumn,0.05kg,11.99,10.51,2.87,649,4.87,2025-05-28
Classic Croissant,Bakery,Monsoon,0.05kg,11.99,10.51,2.87,765,6.25,2025-05-30
Classic Croissant,Bakery,Winter,0.10kg,11.73,11.93,2.23,321,18.15,2025-05-25
Classic Croissant,Bakery,Spring,0.10kg,11.73,11.93,2.23,603,11.13,2025-05-28
Classic Croissant,Bakery,Summer,0.10kg,11.73,11.93,2.23,490,11.75,2025-05-29
Classic Croissant,Bakery,Autumn,0.10kg,11.73,11.93,2.23,553,7.78,2025-05-26
Classic Croissant,Bakery,Monsoon,0.10kg,11.73,11.93,2.23,479,4.56,2025-05-25
Classic Croissant,Bakery,Winter,0.20kg,11.89,9.7,2.97,299,18.29,2025-05-31
Classic Croissant,Bakery,Spring,0.20kg,11.89,9.7,2.97,209,6.83,2025-05-26
Classic Croissant,Bakery,Summer,0.20kg,11.89,9.7,2.97,1008,40.24,2025-05-24
Classic Croissant,Bakery,Autumn,0.20kg,11.89,9.7,2.97,265,35.7,2025-05-30
Classic Croissant,Bakery,Monsoon,0.20kg,11.89,9.7,2.97,637,23.89,2025-05-24
Classic Donut,Bakery,Winter,0.05kg,9.35,10.66,3.6,207,3.23,2025-05-26
Classic Donut,Bakery,Spring,0.05kg,9.35,10.66,3.6,385,5.34,2025-05-24
Classic Donut,Bakery,Summer,0.05kg,9.35,10.66,3.6,348,9.37,2025-05-29
Classic Donut,Bakery,Autumn,0.05kg,9.35,10.66,3.6,485,6.15,2025-05-29
Classic Donut,Bakery,Monsoon,0.05kg,9.35,10.66,3.6,659,10.81,2025-05-25
Classic Donut,Bakery,Winter,0.10kg,8.24,10.42,2.08,482,11.27,2025-05-24
Classic Donut,Bakery,Spring,0.10kg,8.24,10.42,2.08,182,18.92,2025-05-26
Classic Donut,Bakery,Summer,0.10kg,8.24,10.42,2.08,561,6.84,2025-05-31
Classic Donut,Bakery,Autumn,0.10kg,8.24,10.42,2.08,569,20.06,2025-05-27
Classic Donut,Bakery,Monsoon,0.10kg,8.24,10.42,2.08,745,7.55,2025-05-29
Classic Donut,Bakery,Winter,0.20kg,9.91,8.9,3.49,329,12.25,2025-05-27
Classic Donut,Bakery,Spring,0.20kg,9.91,8.9,3.49,543,38.95,2025-05-28
Classic Donut,Bakery,Summer,0.20kg,9.91,8.9,3.49,595,21.28,2025-05-28
Classic Donut,Bakery,Autumn,0.20kg,9.91,8.9,3.49,314,32.82,2025-05-31
Classic Donut,Bakery,Monsoon,0.20kg,9.91,8.9,3.49,340,49.51,2025-05-25
Classic Muffin,Bakery,Winter,0.05kg,11.43,11.84,3.27,251,8.81,2025-05-29
Classic Muffin,Bakery,Spring,0.05kg,11.43,11.84,3.27,397,11.44,2025-05-27
Classic Muffin,Bakery,Summer,0.05kg,11.43,11.84,3.27,934,1.58,2025-05-30
Classic Muffin,Bakery,Autumn,0.05kg,11.43,11.84,3.27,206,3.43,2025-05-26
Classic Muffin,Bakery,Monsoon,0.05kg,11.43,11.84,3.27,673,4.31,2025-05-30
Classic Muffin,Bakery,Winter,0.10kg,11.71,8.65,3.36,191,20.73,2025-05-24
Classic Muffin,Bakery,Spring,0.10kg,11.71,8.65,3.36,429,6.49,2025-05-27
Classic Muffin,Bakery,Summer,0.10kg,11.71,8.65,3.36,390,25.9,2025-05-28
Classic Muffin,Bakery,Autumn,0.10kg,11.71,8.65,3.36,229,14.88,2025-05-30
Classic Muffin,Bakery,Monsoon,0.10kg,11.71,8.65,3.36,630,3.03,2025-05-29
Classic Muffin,Bakery,Winter,0.20kg,8.74,8.82,2.75,391,34.96,2025-05-31
Classic Muffin,Bakery,Spring,0.20kg,8.74,8.82,2.75,554,6.87,2025-05-31
Classic Muffin,Bakery,Summer,0.20kg,8.74,8.82,2.75,288,44.49,2025-05-29
Classic Muffin,Bakery,Autumn,0.20kg,8.74,8.82,2.75,688,13.86,2025-05-25
Classic Muffin,Bakery,Monsoon,0.20kg,8.74,8.82,2.75,618,12.35,2025-05-24
Deluxe Bread,Bakery,Winter,0.05kg,11.55,11.41,2.33,274,7.69,2025-05-24
Deluxe Bread,Bakery,Spring,0.05kg,11.55,11.41,2.33,618,10.24,2025-05-30
Deluxe Bread,Bakery,Summer,0.05kg,11.55,11.41,2.33,501,1.43,2025-05-27
Deluxe Bread,Bakery,Autumn,0.05kg,11.55,11.41,2.33,432,2.27,2025-05-25
Deluxe Bread,Bakery,Monsoon,0.05kg,11.55,11.41,2.33,208,8.68,2025-05-25
Deluxe Bread,Bakery,Winter,0.10kg,10.19,10.58,3.77,410,7.23,2025-05-28
Deluxe Bread,Bakery,Spring,0.10kg,10.19,10.58,3.77,509,18.91,2025-05-26
Deluxe Bread,Bakery,Summer,0.10kg,10.19,10.58,3.77,514,11.66,2025-05-28
Deluxe Bread,Bakery,Autumn,0.10kg,10.19,10.58,3.77,372,4.3,2025-05-31
Deluxe Bread,Bakery,Monsoon,0.10kg,10.19,10.58,3.77,748,23.31,2025-05-30
Deluxe Bread,Bakery,Winter,0.20kg,11.85,11.76,2.23,271,23.97,2025-05-24
Deluxe Bread,Bakery,Spring,0.20kg,11.85,11.76,2.23,553,20.3,2025-05-27
Deluxe Bread,Bakery,Summer,0.20kg,11.85,11.76,2.23,834,11.58,2025-05-26
Deluxe Bread,Bakery,Autumn,0.20kg,11.85,11.76,2.23,416,10.57,2025-05-30
Deluxe Bread,Bakery,Monsoon,0.20kg,11.85,11.76,2.23,643,30.76,2025-05-31
Deluxe Cake,Bakery,Winter,0.05kg,9.85,8.2,3.5,451,7.15,2025-05-26
Deluxe Cake,Bakery,Spring,0.05kg,9.85,8.2,3.5,629,1.44,2025-05-30
Deluxe Cake,Bakery,Summer,0.05kg,9.85,8.2,3.5,382,10.65,2025-05-27
Deluxe Cake,Bakery,Autumn,0.05kg,9.85,8.2,3.5,338,4.24,2025-05-28
Deluxe Cake,Bakery,Monsoon,0.05kg,9.85,8.2,3.5,468,2.33,2025-05-29
Deluxe Cake,Bakery,Winter,0.10kg,8.5,8.7,3.62,214,11.34,2025-05-27
Deluxe Cake,Bakery,Spring,0.10kg,8.5,8.7,3.62,385,11.4,2025-05-28
Deluxe Cake,Bakery,Summer,0.10kg,8.5,8.7,3.62,644,5.28,2025-05-31
Deluxe Cake,Bakery,Autumn,0.10kg,8.5,8.7,3.62,546,2.71,2025-05-25
Deluxe Cake,Bakery,Monsoon,0.10kg,8.5,8.7,3.62,456,6.92,2025-05-31
Deluxe Cake,Bakery,Winter,0.20kg,9.56,8.25,4.0,148,7.15,2025-05-24
Deluxe Cake,Bakery,Spring,0.20kg,9.56,8.25,4.0,414,36.8,2025-05-30
Deluxe Cake,Bakery,Summer,0.20kg,9.56,8.25,4.0,380,13.08,2025-05-24
Deluxe Cake,Bakery,Autumn,0.20kg,9.56,8.25,4.0,278,8.48,2025-05-30
Deluxe Cake,Bakery,Monsoon,0.20kg,9.56,8.25,4.0,636,49.16,2025-05-24
Deluxe Croissant,Bakery,Winter,0.05kg,8.91,9.29,3.84,359,2.4,2025-05-27
Deluxe Croissant,Bakery,Spring,0.05kg,8.91,9.29,3.84,353,4.96,2025-05-27
Deluxe Croissant,Bakery,Summer,0.05kg,8.91,9.29,3.84,262,2.49,2025-05-29
Deluxe Croissant,Bakery,Autumn,0.05kg,8.91,9.29,3.84,326,1.4,2025-05-29
Deluxe Croissant,Bakery,Monsoon,0.05kg,8.91,9.29,3.84,219,3.5,2025-05-24
Deluxe Croissant,Bakery,Winter,0.10kg,9.25,9.34,2.74,344,12.34,2025-05-31
Deluxe Croissant,Bakery,Spring,0.10kg,9.25,9.34,2.74,208,11.22,2025-05-24
Deluxe Croissant,Bakery,Summer,0.10kg,9.25,9.34,2.74,893,14.7,2025-05-31
Deluxe Croissant,Bakery,Autumn,0.10kg,9.25,9.34,2.74,212,10.39,2025-05-26
Deluxe Croissant,Bakery,Monsoon,0.10kg,9.25,9.34,2.74,801,17.02,2025-05-25
Deluxe Croissant,Bakery,Winter,0.20kg,10.88,9.75,2.91,436,39.49,2025-05-29
Deluxe Croissant,Bakery,Spring,0.20kg,10.88,9.75,2.91,260,5.27,2025-05-28
