Product_Name,Category,Season,Weight_Volume,Height_cm,Width_cm,Depth_cm,Sales_Last_30_Days,Profit_Per_Unit,Expiry_Date
Classic Bread,Bakery,Winter,0.05kg,10.57,9.51,2.92,482,5.21,2025-05-30
Classic Bread,Bakery,Spring,0.05kg,10.57,9.51,2.92,273,9.58,2025-05-30
Classic Bread,Bakery,Summer,0.05kg,10.57,9.51,2.92,905,6.1,2025-05-30
Classic Bread,Bakery,Autumn,0.05kg,10.57,9.51,2.92,464,2.62,2025-05-31
Classic Bread,Bakery,Monsoon,0.05kg,10.57,9.51,2.92,626,2.73,2025-05-27
Classic Bread,Bakery,Winter,0.10kg,11.56,9.96,3.38,330,16.03,2025-05-26
Classic Bread,Bakery,Spring,0.10kg,11.56,9.96,3.38,674,3.54,2025-05-28
Classic Bread,Bakery,Summer,0.10kg,11.56,9.96,3.38,878,26.48,2025-05-27
Classic Bread,Bakery,Autumn,0.10kg,11.56,9.96,3.38,309,23.51,2025-05-25
Classic Bread,Bakery,Monsoon,0.10kg,11.56,9.96,3.38,787,17.95,2025-05-29
Classic Bread,Bakery,Winter,0.20kg,11.95,11.71,3.91,546,20.2,2025-05-25
Classic Bread,Bakery,Spring,0.20kg,11.95,11.71,3.91,515,34.51,2025-05-25
Classic Bread,Bakery,Summer,0.20kg,11.95,11.71,3.91,780,37.35,2025-05-29
Classic Bread,Bakery,Autumn,0.20kg,11.95,11.71,3.91,256,14.79,2025-05-25
Classic Bread,Bakery,Monsoon,0.20kg,11.95,11.71,3.91,592,46.28,2025-05-26
Classic Croissant,Bakery,Winter,0.05kg,9.92,10.53,3.62,150,2.23,2025-05-27
Classic Croissant,Bakery,Spring,0.05kg,9.92,10.53,3.62,296,11.25,2025-05-31
Classic Croissant,Bakery,Summer,0.05kg,9.92,10.53,3.62,743,9.36,2025-05-28
Classic Croissant,Bakery,Autumn,0.05kg,9.92,10.53,3.62,565,11.95,2025-05-31
Classic Croissant,Bakery,Monsoon,0.05kg,9.92,10.53,3.62,511,2.05,2025-05-31
Classic Croissant,Bakery,Winter,0.10kg,11.94,8.99,3.25,407,6.38,2025-05-25
Classic Croissant,Bakery,Spring,0.10kg,11.94,8.99,3.25,520,3.66,2025-05-24
Classic Croissant,Bakery,Summer,0.10kg,11.94,8.99,3.25,804,17.15,2025-05-26
Classic Croissant,Bakery,Autumn,0.10kg,11.94,8.99,3.25,247,19.22,2025-05-26
Classic Croissant,Bakery,Monsoon,0.10kg,11.94,8.99,3.25,571,13.61,2025-05-26
Classic Croissant,Bakery,Winter,0.20kg,11.64,9.45,3.57,451,29.34,2025-05-28
Classic Croissant,Bakery,Spring,0.20kg,11.64,9.45,3.57,277,35.97,2025-05-28
Classic Croissant,Bakery,Summer,0.20kg,11.64,9.45,3.57,458,8.39,2025-05-25
Classic Croissant,Bakery,Autumn,0.20kg,11.64,9.45,3.57,271,36.94,2025-05-29
Classic Croissant,Bakery,Monsoon,0.20kg,11.64,9.45,3.57,784,45.59,2025-05-31
Classic Donut,Bakery,Winter,0.05kg,8.78,9.09,3.68,296,7.52,2025-05-29
Classic Donut,Bakery,Spring,0.05kg,8.78,9.09,3.68,643,8.25,2025-05-29
Classic Donut,Bakery,Summer,0.05kg,8.78,9.09,3.68,708,5.22,2025-05-26
Classic Donut,Bakery,Autumn,0.05kg,8.78,9.09,3.68,458,9.77,2025-05-26
Classic Donut,Bakery,Monsoon,0.05kg,8.78,9.09,3.68,761,6.84,2025-05-25
Classic Donut,Bakery,Winter,0.10kg,11.6,8.6,3.14,240,15.17,2025-05-28
Classic Donut,Bakery,Spring,0.10kg,11.6,8.6,3.14,540,5.68,2025-05-26
Classic Donut,Bakery,Summer,0.10kg,11.6,8.6,3.14,668,20.05,2025-05-26
Classic Donut,Bakery,Autumn,0.10kg,11.6,8.6,3.14,602,20.48,2025-05-30
