Product_ID,Product_Name,Width_cm,Height_cm,Sales_Last_30_Days,Profit_Per_Unit,Category,Season_Used,Expiry_Date,Quantity_In_Stock
P004,Whole Grain Cereal,20,30,166,9.0,Breakfast,Winter,2025-08-03,314
P017,Oatmeal Cookies,17,11,213,8.1,Snacks,All Season,2025-10-20,399
P007,Protein Bars (Box),18,10,246,9.5,Snacks,All Season,2025-07-10,153
P011,Cheddar Cheese Cubes,14,12,210,8.0,Dairy,Spring,2025-05-05,409
P003,Coconut Water 500ml,8,25,278,6.0,Beverages,Summer,2025-07-02,274
P015,Cold Brew Coffee,7,26,263,6.5,Beverages,Summer,2025-07-01,208
P005,Organic Face Wipes,10,8,383,5.5,Personal Care,All Season,2025-05-20,427
P018,Fruit & Nut Bar,10,14,332,6.9,Snacks,All Season,2025-08-04,274
P008,Lavender Hand Soap,10,15,257,6.8,Personal Care,All Season,2025-08-10,40
P002,Aloe Vera Shampoo,12,22,193,10.0,Personal Care,All Season,2026-07-29,219
P014,Gluten-Free Crackers,16,12,234,7.2,Snacks,All Season,2025-07-04,272
P001,Crunchy Trail Mix,15,20,245,8.5,Snacks,All Season,2025-07-08,353
P020,Micellar Water,13,20,153,9.4,Personal Care,All Season,2026-05-11,9
P019,Vegetable Juice,9,24,250,6.3,Beverages,Summer,2025-05-07,487
P010,Baby Diapers (M),25,40,113,12.5,Baby Care,All Season,2025-09-10,71
P016,Baby Lotion,12,18,147,7.9,Baby Care,All Season,2025-09-12,218
P009,Sparkling Juice,8,25,283,6.2,Beverages,Summer,2025-06-25,508
P013,Herbal Toothpaste,11,6,275,4.8,Personal Care,All Season,2026-03-29,160
P012,Greek Yogurt Cup,9,10,294,5.5,Dairy,Spring,2025-04-29,494
P006,Energy Drink Max,7,24,312,7.5,Beverages,Summer,2025-05-11,291
P004,Whole Grain Cereal,20,30,140,9.0,Breakfast,Winter,2025-07-28,332
P017,Oatmeal Cookies,17,11,187,8.1,Snacks,All Season,2025-10-24,397
P007,Protein Bars (Box),18,10,215,9.5,Snacks,All Season,2025-08-02,239
P011,Cheddar Cheese Cubes,14,12,219,8.0,Dairy,Spring,2025-05-13,443
P003,Coconut Water 500ml,8,25,284,6.0,Beverages,Summer,2025-06-15,280
P015,Cold Brew Coffee,7,26,284,6.5,Beverages,Summer,2025-06-12,190
P005,Organic Face Wipes,10,8,393,5.5,Personal Care,All Season,2025-05-06,419
P018,Fruit & Nut Bar,10,14,287,6.9,Snacks,All Season,2025-07-26,360
P008,Lavender Hand Soap,10,15,280,6.8,Personal Care,All Season,2025-08-11,61
P002,Aloe Vera Shampoo,12,22,184,10.0,Personal Care,All Season,2026-07-15,246
P014,Gluten-Free Crackers,16,12,258,7.2,Snacks,All Season,2025-06-27,199
P001,Crunchy Trail Mix,15,20,248,8.5,Snacks,All Season,2025-07-28,344
P020,Micellar Water,13,20,156,9.4,Personal Care,All Season,2026-04-19,80
P019,Vegetable Juice,9,24,256,6.3,Beverages,Summer,2025-04-28,467
P010,Baby Diapers (M),25,40,157,12.5,Baby Care,All Season,2025-09-11,40
P016,Baby Lotion,12,18,153,7.9,Baby Care,All Season,2025-09-03,165
P009,Sparkling Juice,8,25,293,6.2,Beverages,Summer,2025-06-22,520
P013,Herbal Toothpaste,11,6,274,4.8,Personal Care,All Season,2026-03-16,211
P012,Greek Yogurt Cup,9,10,316,5.5,Dairy,Spring,2025-04-29,469
P006,Energy Drink Max,7,24,292,7.5,Beverages,Summer,2025-05-08,230
P004,Whole Grain Cereal,20,30,145,9.0,Breakfast,Winter,2025-07-22,266
P017,Oatmeal Cookies,17,11,196,8.1,Snacks,All Season,2025-10-15,353
P007,Protein Bars (Box),18,10,204,9.5,Snacks,All Season,2025-07-15,240
P011,Cheddar Cheese Cubes,14,12,219,8.0,Dairy,Spring,2025-05-03,479
P003,Coconut Water 500ml,8,25,301,6.0,Beverages,Summer,2025-07-13,287
P015,Cold Brew Coffee,7,26,291,6.5,Beverages,Summer,2025-07-03,123
P005,Organic Face Wipes,10,8,406,5.5,Personal Care,All Season,2025-05-01,441
P018,Fruit & Nut Bar,10,14,324,6.9,Snacks,All Season,2025-07-26,287
P008,Lavender Hand Soap,10,15,258,6.8,Personal Care,All Season,2025-08-16,16
P002,Aloe Vera Shampoo,12,22,181,10.0,Personal Care,All Season,2026-08-10,282
P014,Gluten-Free Crackers,16,12,250,7.2,Snacks,All Season,2025-07-15,280
P001,Crunchy Trail Mix,15,20,211,8.5,Snacks,All Season,2025-07-13,345
P020,Micellar Water,13,20,206,9.4,Personal Care,All Season,2026-05-09,13
P019,Vegetable Juice,9,24,272,6.3,Beverages,Summer,2025-05-17,477
P010,Baby Diapers (M),25,40,139,12.5,Baby Care,All Season,2025-08-23,79
P016,Baby Lotion,12,18,187,7.9,Baby Care,All Season,2025-09-25,220
P009,Sparkling Juice,8,25,288,6.2,Beverages,Summer,2025-05-27,496
P013,Herbal Toothpaste,11,6,240,4.8,Personal Care,All Season,2026-04-12,173
P012,Greek Yogurt Cup,9,10,336,5.5,Dairy,Spring,2025-04-24,499
